,Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
4,Angola,AGO,Gini index,SI.POV.GINI,52.0,50.8375,49.675,48.5125,47.35,46.1875,45.025000000000006,43.862500000000004,42.7,43.56,44.42,45.28,46.14,47.0,47.86,48.72,49.58,50.44,51.3,51.3,51.3,51.3,51.3
5,Albania,ALB,Gini index,SI.POV.GINI,,,31.7,31.333333333333332,30.96666666666667,30.6,30.400000000000002,30.2,30.0,29.75,29.5,29.25,29.0,31.8,34.6,32.8,33.7,33.1,30.1,30.1,29.4,29.4,29.4
8,United Arab Emirates,ARE,Gini index,SI.POV.GINI,,,,,,,,,,,,,,32.5,31.2,29.9,28.6,27.3,26.0,26.0,26.0,26.0,26.0
9,Argentina,ARG,Gini index,SI.POV.GINI,51.1,53.3,53.8,50.9,48.4,47.7,46.3,46.2,44.9,43.7,43.6,42.6,41.3,40.9,41.6,41.8,42.0,41.1,41.3,42.9,42.3,42.0,42.0
10,Armenia,ARM,Gini index,SI.POV.GINI,,35.4,34.8,33.0,37.5,36.0,29.7,31.2,29.2,28.0,30.0,29.4,29.6,30.6,31.5,32.4,32.5,33.6,34.4,30.0,25.1,27.9,27.9
13,Australia,AUS,Gini index,SI.POV.GINI,,33.5,33.5,33.5,33.1,33.675,34.25,34.825,35.4,35.05,34.7,34.625,34.55,34.475,34.4,34.05,33.7,34.0,34.3,34.3,34.3,34.3,34.3
14,Austria,AUT,Gini index,SI.POV.GINI,29.0,29.166666666666668,29.333333333333332,29.5,29.8,28.7,29.6,30.6,30.4,31.5,30.3,30.8,30.5,30.8,30.5,30.5,30.8,29.7,30.8,30.2,29.8,29.8,29.8
15,Azerbaijan,AZE,Gini index,SI.POV.GINI,,36.5,25.3,26.8,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6
16,Burundi,BDI,Gini index,SI.POV.GINI,,,,,,,33.4,34.14285714285714,34.885714285714286,35.628571428571426,36.371428571428574,37.114285714285714,37.85714285714286,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6
17,Belgium,BEL,Gini index,SI.POV.GINI,33.1,31.433333333333334,29.76666666666667,28.1,30.5,29.3,28.1,29.2,28.4,28.6,28.4,28.1,27.5,27.7,28.1,27.7,27.6,27.4,27.2,27.2,26.0,26.0,26.0
18,Benin,BEN,Gini index,SI.POV.GINI,,,,38.6,39.2,39.8,40.4,41.0,41.6,42.2,42.8,43.4,44.5,45.599999999999994,46.699999999999996,47.8,44.5,41.199999999999996,37.9,37.9,37.9,37.9,37.9
19,Burkina Faso,BFA,Gini index,SI.POV.GINI,,,,43.3,42.71666666666666,42.13333333333333,41.55,40.96666666666666,40.38333333333333,39.8,38.9,38.0,37.099999999999994,36.199999999999996,35.3,37.224999999999994,39.15,41.075,43.0,43.0,43.0,43.0,43.0
20,Bangladesh,BGD,Gini index,SI.POV.GINI,33.4,33.36,33.32,33.28,33.24,33.2,32.980000000000004,32.760000000000005,32.54,32.32,32.1,32.15,32.2,32.25,32.3,32.35,32.4,32.3,32.2,32.1,32.0,31.9,31.8
21,Bulgaria,BGR,Gini index,SI.POV.GINI,,,,,,,35.7,36.1,33.6,33.8,35.7,34.3,36.0,36.6,37.4,38.6,40.6,40.4,41.3,40.3,40.5,40.5,40.5
24,Bosnia and Herzegovina,BIH,Gini index,SI.POV.GINI,,30.0,31.333333333333332,32.666666666666664,34.0,33.7,33.4,33.1,33.075,33.05,33.025,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
25,Belarus,BLR,Gini index,SI.POV.GINI,31.2,30.6,30.3,28.8,26.5,27.6,28.3,29.6,27.8,27.7,28.6,27.2,26.5,26.6,27.2,25.6,25.3,25.4,25.2,25.3,24.4,24.4,24.4
28,Bolivia,BOL,Gini index,SI.POV.GINI,61.6,57.4,59.3,57.15,55.0,58.5,56.7,54.5,50.8,49.2,47.650000000000006,46.1,46.6,47.6,47.8,46.7,45.2,44.6,42.6,41.6,43.6,40.9,40.9
29,Brazil,BRA,Gini index,SI.POV.GINI,,58.4,58.1,57.6,56.5,56.3,55.6,54.9,54.0,53.7,53.3,52.9,53.4,52.7,52.0,51.9,53.3,53.3,53.9,53.5,48.9,52.9,52.9
32,Bhutan,BTN,Gini index,SI.POV.GINI,,,,40.9,40.2,39.5,38.8,38.1,38.24,38.38,38.519999999999996,38.66,38.8,38.519999999999996,38.239999999999995,37.96,37.68,37.4,35.62,33.839999999999996,32.06,30.28,28.5
33,Botswana,BWA,Gini index,SI.POV.GINI,,,64.7,64.10000000000001,63.5,62.9,62.300000000000004,61.7,61.1,60.5,59.3,58.1,56.9,55.699999999999996,54.5,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3
34,Central African Republic,CAF,Gini index,SI.POV.GINI,,,,,,,,,56.2,55.184615384615384,54.16923076923077,53.15384615384615,52.13846153846154,51.12307692307692,50.10769230769231,49.09230769230769,48.07692307692308,47.06153846153846,46.04615384615385,45.03076923076923,44.01538461538462,43.0,43.0
35,Canada,CAN,Gini index,SI.POV.GINI,33.4,33.6,33.6,33.8,33.8,33.6,34.1,33.8,33.9,34.0,33.6,32.7,33.5,33.8,33.2,33.7,32.7,33.3,32.5,31.7,31.7,31.7,31.7
37,Switzerland,CHE,Gini index,SI.POV.GINI,33.4,32.55,31.7,32.25,32.8,33.35,33.9,34.3,33.8,32.9,32.6,31.7,31.6,32.5,32.5,32.3,33.0,32.7,33.1,33.1,33.1,33.1,33.1
39,Chile,CHL,Gini index,SI.POV.GINI,52.8,52.36666666666667,51.93333333333333,51.5,50.1,48.699999999999996,47.3,47.199999999999996,47.1,47.0,46.5,46.0,45.9,45.8,45.099999999999994,44.4,44.4,44.4,44.56666666666666,44.733333333333334,44.9,44.9,44.9
40,China,CHN,Gini index,SI.POV.GINI,,,42.0,41.63333333333333,41.266666666666666,40.9,41.6,42.3,43.0,43.35,43.7,42.4,42.2,39.7,39.2,38.6,38.5,39.1,38.5,38.2,37.1,37.1,37.1
41,Cote d'Ivoire,CIV,Gini index,SI.POV.GINI,,,41.3,41.61666666666667,41.93333333333333,42.25,42.56666666666667,42.88333333333333,43.2,42.95714285714286,42.714285714285715,42.471428571428575,42.22857142857143,41.98571428571429,41.74285714285714,41.5,40.06666666666667,38.63333333333333,37.2,37.2,37.2,37.2,37.2
42,Cameroon,CMR,Gini index,SI.POV.GINI,,42.1,42.21666666666667,42.333333333333336,42.45,42.56666666666666,42.68333333333333,42.8,43.34285714285714,43.885714285714286,44.42857142857143,44.97142857142857,45.51428571428571,46.05714285714286,46.6,46.6,46.6,46.6,46.6,46.6,46.6,46.6,46.6
